profile,metric,mean,min,max,n
cost-first,kept_spans_rate_pct,25.2380,0.0000,33.6900,5
cost-first,kept_error_traces_pct,35.9480,0.0000,47.3600,5
cost-first,critical_endpoint_coverage_pct,35.6120,0.0000,47.7000,5
cost-first,early_incident_retention_pct,27.0100,0.0000,46.9400,5
cost-first,threshold_volatility_pct,23.5375,15.9900,32.9600,4
cost-first,max_step_change_pct,46.2150,23.2600,78.9500,4
cost-first,A@1,0.1600,0.0000,0.3000,5
cost-first,A@3,0.6200,0.5000,0.8000,5
cost-first,MRR,0.4380,0.3160,0.5560,5
coverage-first,kept_spans_rate_pct,47.0860,42.1200,50.4300,5
coverage-first,kept_error_traces_pct,77.0520,75.1800,78.9000,5
coverage-first,critical_endpoint_coverage_pct,76.8920,75.6200,78.2400,5
coverage-first,early_incident_retention_pct,42.5900,28.2100,53.0100,5
coverage-first,threshold_volatility_pct,16.0700,11.3800,21.2000,5
coverage-first,max_step_change_pct,27.8940,20.0000,40.2600,5
coverage-first,A@1,0.2200,0.2000,0.3000,5
coverage-first,A@3,0.6600,0.6000,0.8000,5
coverage-first,MRR,0.4776,0.4393,0.5476,5
