run_id,profile,model_config,seed,trace_count,kept_traces_pct,kept_spans_rate_pct,kept_error_traces_pct,critical_endpoint_coverage_pct,early_incident_retention_pct,threshold_volatility_pct,max_step_change_pct,A@1,A@3,MRR,A@1_CI95_low,A@1_CI95_high,A@3_CI95_low,A@3_CI95_high,MRR_CI95_low,MRR_CI95_high,compare_report,combined_report,ranking_file,summary_file,notes
thesis-proof-20260327-cost-first-s20260330-t20000-r1,cost-first,signoz/deploy/docker/otel-collector-config.model.floor50.yaml,20260330,20000,16.25,25.28,43.29,41.88,20.45,21.60,57.65,0.2000,0.6000,0.4393,0.0500,0.4000,0.4000,0.8000,0.3214,0.5756,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/20260327-214431-20260327-214338-traces.json_VS_20260327-214431-traces.model.json.txt,reports/compare/20260327-214442-combined-proof-thesis-proof-20260327-cost-first-s20260330-t20000-r1.txt,reports/compare/rca-ranking-official-endpoint-thesis-proof-20260327-cost-first-s20260330-t20000-r1.json,reports/compare/rca-benchmark-thesis-proof-20260327-cost-first-s20260330-t20000-r1-synthetic20-summary.json,sampling + RCA synthetic20
thesis-proof-20260327-cost-first-s20260331-t20000-r2,cost-first,signoz/deploy/docker/otel-collector-config.model.floor50.yaml,20260331,20000,26.92,33.62,42.45,41.46,46.94,32.96,78.95,0.3000,0.8000,0.5560,0.1000,0.5000,0.6000,0.9500,0.4214,0.6917,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/20260327-214726-20260327-214637-traces.json_VS_20260327-214726-traces.model.json.txt,reports/compare/20260327-214736-combined-proof-thesis-proof-20260327-cost-first-s20260331-t20000-r2.txt,reports/compare/rca-ranking-official-endpoint-thesis-proof-20260327-cost-first-s20260331-t20000-r2.json,reports/compare/rca-benchmark-thesis-proof-20260327-cost-first-s20260331-t20000-r2-synthetic20-summary.json,sampling + RCA synthetic20
thesis-proof-20260327-cost-first-s20260332-t20000-r3,cost-first,signoz/deploy/docker/otel-collector-config.model.floor50.yaml,20260332,20000,23.86,33.69,46.64,47.70,32.16,23.60,23.26,0.1000,0.6000,0.4060,0.0000,0.2500,0.4000,0.8000,0.3131,0.5167,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/20260327-214918-20260327-214828-traces.json_VS_20260327-214918-traces.model.json.txt,reports/compare/20260327-214928-combined-proof-thesis-proof-20260327-cost-first-s20260332-t20000-r3.txt,reports/compare/rca-ranking-official-endpoint-thesis-proof-20260327-cost-first-s20260332-t20000-r3.json,reports/compare/rca-benchmark-thesis-proof-20260327-cost-first-s20260332-t20000-r3-synthetic20-summary.json,sampling + RCA synthetic20
thesis-proof-20260327-cost-first-s20260333-t20000-r4,cost-first,signoz/deploy/docker/otel-collector-config.model.floor50.yaml,20260333,20000,0.00,0.00,0.00,0.00,0.00,,,0.0000,0.5000,0.3160,0.0000,0.0000,0.3000,0.7500,0.2618,0.3771,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/20260327-215133-20260327-215021-traces.json_VS_20260327-215133-traces.model.json.txt,reports/compare/20260327-215332-combined-proof-thesis-proof-20260327-cost-first-s20260333-t20000-r4.txt,reports/compare/rca-ranking-official-endpoint-thesis-proof-20260327-cost-first-s20260333-t20000-r4.json,reports/compare/rca-benchmark-thesis-proof-20260327-cost-first-s20260333-t20000-r4-synthetic20-summary.json,sampling + RCA synthetic20
thesis-proof-20260327-cost-first-s20260334-t20000-r5,cost-first,signoz/deploy/docker/otel-collector-config.model.floor50.yaml,20260334,20000,24.30,33.60,47.36,47.02,35.50,15.99,25.00,0.2000,0.6000,0.4726,0.0500,0.4000,0.4000,0.8000,0.3601,0.6185,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/20260327-215717-20260327-215624-traces.json_VS_20260327-215717-traces.model.json.txt,reports/compare/20260327-215728-combined-proof-thesis-proof-20260327-cost-first-s20260334-t20000-r5.txt,reports/compare/rca-ranking-official-endpoint-thesis-proof-20260327-cost-first-s20260334-t20000-r5.json,reports/compare/rca-benchmark-thesis-proof-20260327-cost-first-s20260334-t20000-r5-synthetic20-summary.json,sampling + RCA synthetic20
thesis-proof-20260327-coverage-first-s20260327-t20000,coverage-first,signoz/deploy/docker/otel-collector-config.model.yaml,20260327,20000,31.30,46.23,72.90,74.82,42.25,22.16,29.27,,,,,,,,,reports/compare/20260327-211204-20260327-211117-traces.json_VS_20260327-211204-traces.model.json.txt,reports/compare/20260327-211214-combined-proof-thesis-proof-20260327-coverage-first-s20260327-t20000.txt,,,sampling-only; RCA pending for this run,
thesis-proof-20260327-coverage-first-s20260330-t20000-r1,coverage-first,signoz/deploy/docker/otel-collector-config.model.yaml,20260330,20000,25.91,42.12,78.90,78.24,28.21,11.38,25.53,0.2000,0.6000,0.4393,0.0500,0.4000,0.4000,0.8000,0.3214,0.5756,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/20260327-211847-20260327-211758-traces.json_VS_20260327-211847-traces.model.json.txt,reports/compare/20260327-211857-combined-proof-thesis-proof-20260327-coverage-first-s20260330-t20000-r1.txt,reports/compare/rca-ranking-official-endpoint-thesis-proof-20260327-coverage-first-s20260330-t20000-r1.json,reports/compare/rca-benchmark-thesis-proof-20260327-coverage-first-s20260330-t20000-r1-synthetic20-summary.json,sampling + RCA synthetic20
thesis-proof-20260327-coverage-first-s20260331-t20000-r2,coverage-first,signoz/deploy/docker/otel-collector-config.model.yaml,20260331,20000,36.44,50.43,78.42,78.00,50.34,21.20,40.26,0.3000,0.7000,0.5476,0.1000,0.5000,0.5000,0.9000,0.4131,0.6863,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/20260327-212033-20260327-211946-traces.json_VS_20260327-212033-traces.model.json.txt,reports/compare/20260327-212044-combined-proof-thesis-proof-20260327-coverage-first-s20260331-t20000-r2.txt,reports/compare/rca-ranking-official-endpoint-thesis-proof-20260327-coverage-first-s20260331-t20000-r2.json,reports/compare/rca-benchmark-thesis-proof-20260327-coverage-first-s20260331-t20000-r2-synthetic20-summary.json,sampling + RCA synthetic20
thesis-proof-20260327-coverage-first-s20260332-t20000-r3,coverage-first,signoz/deploy/docker/otel-collector-config.model.yaml,20260332,20000,30.93,46.30,75.18,75.80,39.21,18.27,30.00,0.2000,0.6000,0.4393,0.0500,0.4000,0.4000,0.8000,0.3232,0.5839,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/20260327-212220-20260327-212133-traces.json_VS_20260327-212220-traces.model.json.txt,reports/compare/20260327-212231-combined-proof-thesis-proof-20260327-coverage-first-s20260332-t20000-r3.txt,reports/compare/rca-ranking-official-endpoint-thesis-proof-20260327-coverage-first-s20260332-t20000-r3.json,reports/compare/rca-benchmark-thesis-proof-20260327-coverage-first-s20260332-t20000-r3-synthetic20-summary.json,sampling + RCA synthetic20
thesis-proof-20260327-coverage-first-s20260333-t20000-r4,coverage-first,signoz/deploy/docker/otel-collector-config.model.yaml,20260333,20000,37.66,50.41,75.30,76.80,53.01,13.95,20.00,0.2000,0.6000,0.4726,0.0500,0.4000,0.4000,0.8000,0.3601,0.6185,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/20260327-212408-20260327-212321-traces.json_VS_20260327-212408-traces.model.json.txt,reports/compare/20260327-212419-combined-proof-thesis-proof-20260327-coverage-first-s20260333-t20000-r4.txt,reports/compare/rca-ranking-official-endpoint-thesis-proof-20260327-coverage-first-s20260333-t20000-r4.json,reports/compare/rca-benchmark-thesis-proof-20260327-coverage-first-s20260333-t20000-r4-synthetic20-summary.json,sampling + RCA synthetic20
