dataset,budget_pct,budget_slug,paper_A@1_pct,paper_A@3_pct,paper_MRR,ours_A@1_pct,ours_A@3_pct,ours_MRR,delta_A@1_pct,delta_A@3_pct,delta_MRR
train-ticket,10.0,10p000pct,,,,11.76470588235294,41.17647058823529,0.3296027501909855,11.76470588235294,41.17647058823529,0.3296027501909855
train-ticket,20.0,20p000pct,,,,11.76470588235294,35.294117647058826,0.26800981955780717,11.76470588235294,35.294117647058826,0.26800981955780717
train-ticket,30.0,30p000pct,,,,11.76470588235294,35.294117647058826,0.2758451215107562,11.76470588235294,35.294117647058826,0.2758451215107562
train-ticket,40.0,40p000pct,,,,5.88235294117647,35.294117647058826,0.24643335680487383,5.88235294117647,35.294117647058826,0.24643335680487383
hipster-batch1,10.0,10p000pct,,,,16.666666666666664,54.166666666666664,0.38136574074074076,16.666666666666664,54.166666666666664,0.38136574074074076
hipster-batch1,20.0,20p000pct,,,,16.666666666666664,41.66666666666667,0.3699570105820106,16.666666666666664,41.66666666666667,0.3699570105820106
hipster-batch1,30.0,30p000pct,,,,20.833333333333336,45.83333333333333,0.4012070105820106,20.833333333333336,45.83333333333333,0.4012070105820106
hipster-batch1,40.0,40p000pct,,,,20.833333333333336,45.83333333333333,0.39912367724867726,20.833333333333336,45.83333333333333,0.39912367724867726
hipster-batch2,10.0,10p000pct,,,,21.875,50.0,0.4158854166666667,21.875,50.0,0.4158854166666667
hipster-batch2,20.0,20p000pct,,,,21.875,46.875,0.41045386904761905,21.875,46.875,0.41045386904761905
hipster-batch2,30.0,30p000pct,,,,21.875,46.875,0.4094122023809524,21.875,46.875,0.4094122023809524
hipster-batch2,40.0,40p000pct,,,,18.75,43.75,0.39482886904761905,18.75,43.75,0.39482886904761905
