dataset,budget_pct,budget_slug,incident_capture_latency_ms,early_incident_retention_pct,critical_endpoint_coverage_pct,critical_endpoint_coverage_kept,critical_endpoint_coverage_total,threshold_volatility_pct,max_step_change_pct,kept_error_traces,baseline_error_traces,kept_error_traces_pct,achieved_keep_pct,pre_cap_keep_pct,phase1_summary_file
train-ticket,10.0,10p000pct,0.0,60.0,,0,0,113.22599784701868,956.0738656785409,2536,2536,100.0,9.998538225405643,25.069434293231986,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-train-ticket-10p000pct-20260403-paper-budgets-10-40-rerun.txt
train-ticket,20.0,20p000pct,0.0,60.0,,0,0,113.22599784701868,956.0738656785409,2536,2536,100.0,20.00073088729718,25.069434293231986,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-train-ticket-20p000pct-20260403-paper-budgets-10-40-rerun.txt
train-ticket,30.0,30p000pct,0.0,60.0,,0,0,115.94757806085696,761.5439968028326,2536,2536,100.0,29.995614676216924,29.995614676216924,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-train-ticket-30p000pct-20260403-paper-budgets-10-40-rerun.txt
train-ticket,40.0,40p000pct,0.0,60.0,,0,0,113.67764709422713,648.0969527507779,2536,2536,100.0,40.00146177459436,40.00146177459436,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-train-ticket-40p000pct-20260403-paper-budgets-10-40-rerun.txt
hipster-batch1,10.0,10p000pct,0.0,62.87156477846326,10.000082339088836,12145,121449,36.22323923582798,1060.9876106299635,12145,61663,19.69576569417641,10.000082339088836,59.625027789442484,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch1-10p000pct-20260403-paper-budgets-10-40-rerun.txt
hipster-batch1,20.0,20p000pct,0.0,62.87156477846326,20.000164678177672,24290,121449,36.22323923582798,1060.9876106299635,24290,61663,39.39153138835282,20.000164678177672,59.625027789442484,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch1-20p000pct-20260403-paper-budgets-10-40-rerun.txt
hipster-batch1,30.0,30p000pct,0.0,62.87156477846326,30.000247017266506,36435,121449,36.22323923582798,1060.9876106299635,36435,61663,59.08729708252923,30.000247017266506,59.625027789442484,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch1-30p000pct-20260403-paper-budgets-10-40-rerun.txt
hipster-batch1,40.0,40p000pct,0.0,62.87156477846326,40.000329356355344,48580,121449,36.22323923582798,1060.9876106299635,48580,61663,78.78306277670563,40.000329356355344,59.625027789442484,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch1-40p000pct-20260403-paper-budgets-10-40-rerun.txt
hipster-batch2,10.0,10p000pct,0.0,65.77154308617234,9.999719014302173,17794,177945,50.5980641276995,660.4304508598703,17794,83120,21.407603464870068,9.999719014302173,53.49293320969962,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch2-10p000pct-20260403-paper-budgets-10-40-rerun.txt
hipster-batch2,20.0,20p000pct,0.0,65.77154308617234,20.0,35589,177945,50.5980641276995,660.4304508598703,35589,83120,42.81641000962464,20.0,53.49293320969962,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch2-20p000pct-20260403-paper-budgets-10-40-rerun.txt
hipster-batch2,30.0,30p000pct,0.0,65.77154308617234,30.00028098569783,53384,177945,50.5980641276995,660.4304508598703,53384,83120,64.2252165543792,30.00028098569783,53.49293320969962,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch2-30p000pct-20260403-paper-budgets-10-40-rerun.txt
hipster-batch2,40.0,40p000pct,0.0,65.77154308617234,40.0,71178,177945,50.5980641276995,660.4304508598703,71178,83120,85.63282001924928,40.0,53.49293320969962,/home/leeduc/Desktop/KLTN/SignozCore/reports/compare/paper-sampling-phase1-hipster-batch2-40p000pct-20260403-paper-budgets-10-40-rerun.txt
