variant,budget_pct,A1,A3,MRR,jaccard,kendall_tau,swap_loss,score_std
V11-A,0.1,0.1270424836601307,0.33169934640522875,0.2903447445573671,1.0,1.0,0.0,0.15515142679174207
V11-A,1.0,0.10743464052287582,0.3570261437908497,0.27999526471808767,1.0,1.0,0.0,0.15515142679174207
V11-A,2.5,0.10743464052287582,0.38235294117647056,0.30932850584634,1.0,1.0,0.0,0.15515142679174207
V11-B,0.1,0.09722222222222221,0.26143790849673204,0.273631815941865,1.0,1.0,0.0,0.21792404560042775
V11-B,1.0,0.21037581699346405,0.40461601307189543,0.36594131970970206,1.0,1.0,0.0,0.21792404560042775
V11-B,2.5,0.19995915032679737,0.3929738562091503,0.3569396000921736,1.0,1.0,0.0,0.21792404560042775
V11-C,0.1,0.068218954248366,0.32026143790849676,0.25740643479614067,1.0,1.0,0.0,0.12730324620438813
V11-C,1.0,0.1860702614379085,0.34803921568627455,0.34580328900722496,1.0,1.0,0.0,0.12730324620438813
V11-C,2.5,0.18035130718954248,0.3768382352941176,0.3442578760854785,1.0,1.0,0.0,0.12730324620438813
V11-D,0.1,0.21058006535947713,0.3770424836601307,0.3713166587860215,0.9210616146100016,0.9028094269384592,0.07528819636233719,0.13639532157734194
V11-D,1.0,0.19648692810457516,0.36192810457516345,0.3524124257174646,0.9966626124133864,0.9963122333173516,0.04885790385706764,0.13639532157734194
V11-D,2.5,0.21037581699346405,0.36642156862745096,0.3634295108713001,0.9994011527808967,0.9992808318380648,0.01459349575791071,0.13639532157734194
